key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
vco_wh_dlc08_skill_grn_lord_unique_grimgor_2		vco_wh_dlc08_skill_grn_lord_unique_grimgor_2		1	2		0	0	true
vco_wh_dlc08_skill_grn_lord_unique_grimgor_3		wh_dlc08_skill_grn_lord_unique_grimgor_3		1	3		0	0	true
vco_wh_dlc08_skill_grn_lord_unique_grimgor_4		wh_dlc08_skill_grn_lord_unique_grimgor_4		1	4		0	0	true
vco_wh_dlc08_skill_grn_lord_unique_grimgor_5		wh_dlc08_skill_grn_lord_unique_grimgor_5		1	5		0	4	true
vco_wh_main_skill_node_chs_archaon_battle_01		wh_main_skill_chs_lord_battle_dominating_presence		4	0		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_02		wh2_dlc11_skill_chs_army_buff_chaos_vanguard		4	1		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_03		wh2_dlc11_skill_chs_army_buff_savage_bloodlust		4	2		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_04		wh3_dlc20_skill_chs_army_buff_warpfire		4	3		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_05		wh2_dlc11_skill_chs_army_buff_hammer_to_the_anvil		4	4		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_06		wh2_dlc11_skill_chs_army_buff_monstrous_strength		4	5		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_07		wh2_dlc11_skill_chs_army_buff_doomfire		4	6		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_08		wh_main_skill_all_lord_battle_rally		4	7		0	6	true
vco_wh_main_skill_node_chs_archaon_battle_09		wh2_dlc11_skill_chs_army_buff_legion_of_doom		4	8		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_10		wh2_dlc11_skill_chs_army_buff_speed_and_malice		4	9		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_11		wh2_dlc11_skill_chs_army_buff_freakish_mutations		4	10		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_12		wh2_dlc11_skill_chs_army_buff_guided_by_tzeentch		4	11		0	0	true
vco_wh_main_skill_node_chs_archaon_battle_13		wh_main_skill_chs_lord_battle_stand_or_die		4	12		0	1	true
vco_wh_main_skill_node_chs_archaon_campaign_01		wh_main_skill_all_lord_campaign_route_marcher		5	0		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_02		wh_main_skill_chs_lord_campaign_despoilers		5	1		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_03		wh3_dlc20_skill_chs_lord_campaign_serve_or_die		5	2		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_04		wh3_dlc20_skill_chs_lord_campaign_devoted_of_chaos		5	3		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_05		wh_main_skill_chs_lord_campaign_ruination		5	4		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_06		wh_main_skill_chs_lord_campaign_unholy_resilience		5	5		0	4	true
vco_wh_main_skill_node_chs_archaon_campaign_07		wh_main_skill_all_lord_campaign_lightning_strike		5	6		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_08		wh_main_skill_chs_lord_campaign_dark_apothecary		5	7		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_09		wh3_dlc20_skill_chs_lord_campaign_blessed_by_evil		5	8		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_10		wh3_dlc20_skill_all_lord_campaign_premonition		5	9		0	0	true
vco_wh_main_skill_node_chs_archaon_campaign_11		wh3_dlc20_skill_chs_lord_campaign_corruption_undivided		5	10		0	4	true
vco_wh_main_skill_node_chs_archaon_innate_01		wh_main_skill_innate_chs_archaon_the_everchosen		6	0		1	0	false
vco_wh_main_skill_node_chs_archaon_magic1_01		wh_main_skill_all_magic_metal_01_searing_doom		3	0		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_02		wh_main_skill_all_magic_fire_04_kindleflame		3	1		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_03		wh_main_skill_all_magic_death_01_spirit_leech		3	2		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_04		wh2_main_skill_all_magic_fire_03_flaming_sword_of_rhuin_lord		3	3		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_05		wh2_main_skill_all_magic_fire_05_the_burning_head_lord		3	4		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_06		wh_main_skill_all_magic_all_06_evasion		3	5		0	4	true
vco_wh_main_skill_node_chs_archaon_magic1_07		wh_main_skill_all_magic_all_07_earthing		3	8		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_08		wh_main_skill_all_magic_all_08_power_drain		3	9		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_09		wh2_main_skill_all_magic_metal_09_transmutation_of_lead_lord		3	6		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_10		wh2_main_skill_all_magic_death_10_the_purple_sun_of_xereus_lord		3	7		0	0	true
vco_wh_main_skill_node_chs_archaon_magic1_11		wh_main_skill_all_magic_all_11_arcane_conduit		3	10		0	4	true
vco_wh_main_skill_node_chs_archaon_magic1_dummy		wh3_dlc20_skill_magic_searing_doom_spirit_leech		3	11		1	0	false
vco_wh_main_skill_node_chs_archaon_self_01		wh_main_skill_chs_lord_self_eye_of_the_gods		2	0		0	0	true
vco_wh_main_skill_node_chs_archaon_self_02		wh2_dlc11_skill_all_lord_self_devastating_charge		2	1		0	0	true
vco_wh_main_skill_node_chs_archaon_self_03		wh2_dlc11_skill_all_lord_self_thick-skinned		2	2		0	0	true
vco_wh_main_skill_node_chs_archaon_self_04		wh2_dlc11_skill_all_lord_self_hard_to_hit		2	3		0	0	true
vco_wh_main_skill_node_chs_archaon_self_05		wh2_dlc11_skill_all_lord_self_deadly_blade		2	4		0	0	true
vco_wh_main_skill_node_chs_archaon_self_06		wh_main_skill_all_all_self_foe-seeker		2	5		0	4	true
vco_wh_main_skill_node_chs_archaon_self_07		wh2_dlc11_skill_all_lord_self_wound-maker		2	6		0	0	true
vco_wh_main_skill_node_chs_archaon_self_08		wh2_dlc11_skill_all_lord_self_scarred_veteran		2	7		0	0	true
vco_wh_main_skill_node_chs_archaon_self_09		wh2_dlc11_skill_all_lord_self_self_indomitable		2	8		0	0	true
vco_wh_main_skill_node_chs_archaon_self_10		wh2_dlc11_skill_all_lord_self_blade_shield		2	9		0	0	true
vco_wh_main_skill_node_chs_archaon_self_11		wh_main_skill_all_all_self_deadly_onslaught		2	10		0	4	true
vco_wh_main_skill_node_chs_archaon_unique_07		wh_main_skill_chs_lord_unique_archaon_lord_of_the_end_times		0	6		0	0	true
vco_wh_main_skill_node_chs_archaon_unique_08		wh_main_skill_chs_lord_unique_archaon_chosen_of_the_gods		0	7		0	0	true
vco_wh_main_skill_node_chs_archaon_unique_09		wh_main_skill_chs_all_unique_aura_of_chaos		0	9		0	0	true
vco_wh_main_skill_node_chs_archaon_unique_10		wh_main_skill_chs_lord_battle_hearts_of_iron		0	8		0	0	true
vco_wh_main_skill_node_chs_archaon_unique_auth		wh3_dlc20_skill_authority_und_lord		0	4		2	0	true
vco_wh_main_skill_node_grn_grimgor_innate_01		vco_wh_main_skill_innate_grn_grimgor_ironhide		6	0		1	0	false
vco_wh_main_skill_node_grn_grimgor_self_01		wh2_dlc15_skill_grn_hero_personal_dead_ard		2	0		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_02		wh2_dlc11_skill_all_lord_self_devastating_charge		2	1		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_03		wh_main_skill_grn_lord_self_choppas		2	2		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_04		wh2_dlc11_skill_all_lord_self_scarred_veteran		2	3		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_05		wh2_dlc11_skill_all_lord_self_deadly_blade		2	4		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_06		wh_main_skill_all_all_self_foe-seeker		2	5		0	4	true
vco_wh_main_skill_node_grn_grimgor_self_07		wh2_dlc11_skill_all_lord_self_hard_to_hit		2	6		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_08		wh_main_skill_grn_lord_unique_grimgor_unbreakable		2	7		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_09		wh2_dlc11_skill_all_lord_self_thick-skinned		2	8		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_10		wh2_dlc11_skill_all_lord_self_wound-maker		2	9		0	0	true
vco_wh_main_skill_node_grn_grimgor_self_11		wh_main_skill_all_all_self_deadly_onslaught		2	10		0	4	true
vco_wh_main_skill_node_grn_grimgor_unique_03		wh_main_skill_grn_lord_unique_grimgor_hatred		0	2		0	0	true
vco_wh_main_skill_node_grn_grimgor_unique_04		wh_main_skill_grn_all_unique_dodgy_geezer		0	5		0	0	true
vco_wh_main_skill_node_grn_grimgor_unique_05		vco_wh_main_skill_grn_lord_battle_tunnel_boss		0	3		0	0	true
vco_wh_main_skill_node_grn_grimgor_unique_06		wh_main_skill_grn_lord_battle_bellower		0	4		0	0	true
vco_wh_main_skill_node_set_chs_archaon_mentor		wh3_main_skill_all_mentor_lord		0	11		0	0	true
vco_wh_main_skill_node_set_grn_grimgor_embed		wh3_dlc23_skill_all_dummy_agent_actions_chd_gorduz_backstabber		8	0		1	0	false
