ancillary	effect	effect_scope	value
vco_anc_enchanted_item_black_dragon_egg	wh2_main_effect_force_stat_melee_defence_hef_dragons	character_to_force_own	10.0000
vco_anc_enchanted_item_black_dragon_egg	wh_main_effect_building_recruitment_cost_reduction_hef_def_dragons	character_to_force_own	-10.0000
vco_anc_enchanted_item_black_dragon_egg	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
vco_anc_enchanted_item_chains_of_binding	wh3_dlc23_item_ability_enable_spell_burning_wrath	character_to_character_own	1.0000
vco_anc_enchanted_item_chains_of_binding	wh3_main_effect_corruption_chaos_characters	character_to_province_any	4.0000
vco_anc_enchanted_item_chains_of_binding	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
vco_anc_enchanted_item_chains_of_binding	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000
vco_anc_enchanted_item_chains_of_binding	wh_main_effect_force_stat_magic_resistance_bad	region_to_force_enemy	-20.0000
vco_anc_enchanted_item_cracked_rune_azamar	wh2_dlc14_effect_magic_cost_all_lores_percentage	character_to_character_own	-10.0000
vco_anc_enchanted_item_cracked_rune_azamar	wh2_main_effect_ability_cooldown_spells	character_to_character_own	-15.0000
vco_anc_enchanted_item_cracked_rune_azamar	wh2_main_effect_character_stat_weapon_strength_vs_dwarfs	character_to_force_own	5.0000
vco_anc_enchanted_item_cracked_rune_azamar	wh_main_effect_character_stat_aura_leadership_effect	character_to_character_own	10.0000
vco_anc_enchanted_item_dragonfire_staff	wh3_main_effect_ability_enable_dragons_breath	character_to_character_own	1.0000
vco_anc_enchanted_item_dragonfire_staff	wh3_main_effect_corruption_vampiric_characters	character_to_province_any	5.0000
vco_anc_enchanted_item_dragonfire_staff	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	60.0000
vco_anc_enchanted_item_dragonfire_staff	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
vco_anc_enchanted_item_moonstone	wh2_dlc16_effect_ability_enable_spot_units_hiding_in_forest	character_to_character_own	1.0000
vco_anc_enchanted_item_moonstone	wh2_dlc16_effect_character_stat_enable_dampening_attacks	character_to_character_own	1.0000
vco_anc_enchanted_item_moonstone	wh_dlc08_effect_character_stat_melee_attack_vs_elves	character_to_force_own	5.0000
vco_anc_enchanted_item_moonstone	wh_main_effect_agent_movement_range_mod	character_to_character_own	20.0000
vco_anc_enchanted_item_moonstone	wh_main_effect_character_stat_magic_resistance	character_to_character_own	25.0000
vco_anc_enchanted_item_moonstone	wh_main_effect_general_mod_tunnel_interception_chance	character_to_character_own	20.0000
vco_anc_enchanted_item_the_crown_of_domination	wh3_dlc20_effect_pooled_resource_mod_chs_authority_all_character	general_to_force_own	1.0000
vco_anc_enchanted_item_the_crown_of_domination	wh_main_effect_ability_enable_the_crown_of_domination	character_to_character_own	1.0000
vco_anc_enchanted_item_the_crown_of_domination	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000
vco_anc_enchanted_item_the_crown_of_domination	wh_main_effect_character_stat_melee_defence	character_to_character_own	3.0000
vco_anc_enchanted_item_the_crown_of_sorcery	wh2_dlc15_effect_ability_enable_bound_gaze_of_nagash	character_to_character_own	1.0000
vco_anc_enchanted_item_the_crown_of_sorcery	wh2_main_effect_ability_cooldown_spells	character_to_character_own	-20.0000
vco_anc_enchanted_item_the_crown_of_sorcery	wh_main_effect_character_stat_miscast	character_to_character_own	-25.0000
vco_anc_enchanted_item_the_crown_of_sorcery	wh_main_effect_force_army_campaign_recruitment_points	character_to_faction_unseen	2.0000
vco_anc_enchanted_item_the_crown_of_sorcery	wh_main_effect_public_order_characters	character_to_province_own	5.0000
vco_anc_enchanted_item_the_rock_of_inevitability	wh2_main_effect_building_construction_time_mod_all	character_to_region_own	-30.0000
vco_anc_enchanted_item_the_rock_of_inevitability	wh3_main_effect_ability_enable_the_rock_of_inevitability	character_to_character_own	1.0000
vco_anc_enchanted_item_the_rock_of_inevitability	wh_main_effect_building_construction_cost_mod	character_to_region_own	50.0000
vco_anc_enchanted_item_the_rock_of_inevitability	wh_main_effect_province_growth_characters	character_to_province_own	35.0000
vco_anc_enchanted_item_writ_of_iron	wh2_main_effect_building_construction_time_mod_all	character_to_region_own	-25.0000
vco_anc_enchanted_item_writ_of_iron	wh3_dlc23_effect_rush_construction_cost	character_to_region_own	-10.0000
vco_anc_enchanted_item_writ_of_iron	wh_main_effect_building_construction_cost_mod	character_to_region_own	-25.0000
vco_anc_magic_standard_shroud_of_gilles	wh3_main_effect_ability_wom_cost_pct_tzeentch_spells	character_to_character_own	-10.0000
vco_anc_magic_standard_shroud_of_gilles	wh3_main_effect_corruption_tzeentch_characters	character_to_province_any	5.0000
vco_anc_magic_standard_shroud_of_gilles	wh3_main_faction_political_diplomacy_mod_tzeentch	character_to_faction_unseen	15.0000
vco_anc_talisman_eight_pointed_star	wh3_main_effect_ability_enable_blissful_rapture	character_to_character_own	1.0000
vco_anc_talisman_eight_pointed_star	wh3_main_effect_ability_enable_fires_of_change	character_to_character_own	1.0000
vco_anc_talisman_eight_pointed_star	wh3_main_effect_ability_enable_pestilent_decay	character_to_character_own	1.0000
vco_anc_talisman_eight_pointed_star	wh3_main_effect_ability_enable_wrath_of_khorne	character_to_character_own	1.0000
vco_anc_talisman_eight_pointed_star	wh3_main_effect_corruption_chaos_characters	character_to_province_any	8.0000
vco_anc_talisman_eight_pointed_star	wh_main_effect_character_stat_ward_save	character_to_character_own	8.0000
vco_anc_talisman_hellshard_amulet_grimgor	wh3_dlc23_effect_ability_enable_daemonspite_crucible	character_to_character_own	1.0000
vco_anc_talisman_hellshard_amulet_grimgor	wh3_main_effect_spell_targeting_range_all	character_to_character_own	10.0000
vco_anc_talisman_hellshard_amulet_grimgor	wh_main_effect_character_stat_leadership	general_to_force_own	5.0000
vco_anc_talisman_hellshard_amulet_grimgor	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
vco_anc_talisman_mecha_arm	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
vco_anc_talisman_mecha_arm	wh2_dlc23_effect_ability_enable_mechanical_overdrive	character_to_character_own	1.0000
vco_anc_talisman_mecha_arm	wh2_main_effect_character_stat_weapon_strength_base	character_to_character_own	20.0000
vco_anc_talisman_mecha_arm	wh_main_effect_character_stat_bonus_vs_infantry	character_to_character_own	12.0000
vco_anc_talisman_mecha_arm	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
vco_anc_talisman_storm_dragons_heart	wh2_dlc15_effect_magic_heavens_enable_bound_chain_lightning	character_to_character_own	1.0000
vco_anc_talisman_storm_dragons_heart	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
vco_anc_talisman_storm_dragons_heart	wh_main_effect_character_stat_magic_resistance	character_to_character_own	25.0000
vco_anc_talisman_storm_dragons_heart	wh_main_effect_force_all_campaign_replenishment_rate	character_to_force_own	10.0000
vco_anc_talisman_superior_collar_of_khorne	wh3_main_effect_ability_enable_locus_of_abjuration	character_to_character_own	1.0000
vco_anc_talisman_superior_collar_of_khorne	wh_main_effect_character_stat_magic_resistance	character_to_character_own	40.0000
vco_anc_talisman_superior_collar_of_khorne	wh_main_effect_character_stat_miscast	character_to_force_enemy_provincewide	50.0000
vco_anc_talisman_superior_collar_of_khorne	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
vco_anc_talisman_the_eye_of_sheerian	wh2_dlc14_effect_magic_cost_all_lores_percentage	character_to_character_own	-10.0000
vco_anc_talisman_the_eye_of_sheerian	wh3_main_effect_battle_barrier_health_add	character_to_character_own	800.0000
vco_anc_talisman_the_eye_of_sheerian	wh3_main_faction_political_diplomacy_mod_tzeentch	character_to_faction_unseen	15.0000
vco_anc_talisman_the_eye_of_sheerian	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
vco_anc_talisman_the_eye_of_sheerian	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	50.0000
vco_anc_weapon_abyssal_whip	wh2_main_effect_ability_enable_bound_whip_of_agony	character_to_character_own	1.0000
vco_anc_weapon_abyssal_whip	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0000
vco_anc_weapon_abyssal_whip	wh2_main_effect_force_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	15.0000
vco_anc_weapon_abyssal_whip	wh3_dlc23_chd_effect_xp_gain_rate_chd_warriors	character_to_force_own_alt_text	10.0000
vco_anc_weapon_blade_of_corruption	wh2_dlc10_effect_character_stat_enable_contaminated_attacks	character_to_character_own	1.0000
vco_anc_weapon_blade_of_corruption	wh3_main_effect_ability_enable_bound_staff_of_nurgle	character_to_character_own	1.0000
vco_anc_weapon_blade_of_corruption	wh3_main_effect_corruption_nurgle_characters	character_to_any_province	20.0000
vco_anc_weapon_blade_of_corruption	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
vco_anc_weapon_blade_of_shadow	wh3_main_effect_passive_ability_enable_blade_of_shadows	character_to_character_own	1.0000
vco_anc_weapon_blade_of_shadow	wh3_main_effect_passive_ability_enable_whispers_in_the_darkness	character_to_character_own	1.0000
vco_anc_weapon_blade_of_shadow	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
vco_anc_weapon_blade_of_shadow	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
vco_anc_weapon_blade_of_shadow	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	25.0000
vco_anc_weapon_blissbarb_bow	wh2_dlc17_effect_contact_phase_dazed	character_to_character_own	1.0000
vco_anc_weapon_blissbarb_bow	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0000
vco_anc_weapon_blissbarb_bow	wh_main_effect_character_stat_range	character_to_character_own	15.0000
vco_anc_weapon_chittering_crossbow	wh3_main_effect_ability_enable_nuku_chos_crossbow	character_to_character_own	1.0000
vco_anc_weapon_chittering_crossbow	wh_main_effect_character_stat_ammunition	character_to_character_own	15.0000
vco_anc_weapon_chittering_crossbow	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
vco_anc_weapon_chittering_crossbow	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0000
vco_anc_weapon_flensing_gauntlet	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
vco_anc_weapon_flensing_gauntlet	wh_main_effect_ability_enable_regenerating_flesh	character_to_character_own	1.0000
vco_anc_weapon_flensing_gauntlet	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
vco_anc_weapon_ghal_maraz	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
vco_anc_weapon_ghal_maraz	wh2_main_effect_force_stat_weapon_strength_vs_chaos_norsca	character_to_character_own	15.0000
vco_anc_weapon_ghal_maraz	wh_main_effect_ability_enable_ghal_maraz	character_to_character_own	1.0000
vco_anc_weapon_ghal_maraz	wh_main_effect_character_stat_ap_damage	character_to_character_own	75.0000
vco_anc_weapon_ghal_maraz	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
vco_anc_weapon_ghal_maraz	wh_main_effect_public_order_characters	character_to_province_own_factionwide	1.0000
vco_anc_weapon_gitsnik	wh3_main_effect_corruption_chaos_characters	character_to_province_any	5.0000
vco_anc_weapon_gitsnik	wh_main_effect_ability_enable_gitsnik	character_to_character_own	1.0000
vco_anc_weapon_gitsnik	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	12.0000
vco_anc_weapon_gitsnik	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
vco_anc_weapon_gitsnik	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_anc_weapon_gitsnik	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_anc_weapon_gitsnik	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0000
vco_anc_weapon_scourge	wh2_main_effect_character_stat_enable_discourage_attacks	character_to_character_own	1.0000
vco_anc_weapon_scourge	wh3_main_effect_corruption_slaanesh_characters	character_to_province_any	5.0000
vco_anc_weapon_scourge	wh_dlc03_effect_ability_enable_scourge	character_to_character_own	1.0000
vco_anc_weapon_scourge	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
vco_anc_weapon_scourge	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
vco_anc_weapon_scourge	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_anc_weapon_shard_blade	wh3_main_effect_ability_enable_shard_blade	character_to_character_own	1.0000
vco_anc_weapon_shard_blade	wh3_main_effect_corruption_chaos_characters	character_to_province_any	5.0000
vco_anc_weapon_shard_blade	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	12.0000
vco_anc_weapon_shard_blade	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_anc_weapon_shard_blade	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0000
vco_anc_weapon_sliverslash	wh3_dlc20_effect_ability_enable_sliverslash	character_to_character_own	1.0000
vco_anc_weapon_sliverslash	wh3_dlc20_effect_pooled_resource_mod_chs_authority_khorne_character	general_to_force_own	1.0000
vco_anc_weapon_sliverslash	wh3_main_effect_corruption_khorne_characters	character_to_province_any	5.0000
vco_anc_weapon_sliverslash	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
vco_anc_weapon_sliverslash	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
vco_anc_weapon_sliverslash	wh_main_effect_character_stat_weapon_strength	character_to_character_own	8.0000
vco_anc_weapon_sliverslash	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_anc_weapon_staff_of_oblivion	wh3_main_effect_corruption_chaos_characters	character_to_province_any	5.0000
vco_anc_weapon_staff_of_oblivion	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	20.0000
vco_anc_weapon_staff_of_oblivion	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
vco_anc_weapon_staff_of_oblivion	wh_main_effect_technology_research_points	character_to_faction_unseen	10.0000
vco_anc_weapon_stolen_hand_of_gods	wh2_main_effect_ability_enable_bound_hand_of_gods	character_to_character_own	1.0000
vco_anc_weapon_stolen_hand_of_gods	wh_main_effect_character_stat_ap_damage	character_to_character_own	10.0000
vco_anc_weapon_stolen_hand_of_gods	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000
vco_anc_weapon_stolen_hand_of_gods	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
vco_anc_weapon_stolen_hand_of_gods	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000
vco_anc_weapon_stolen_hand_of_gods	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	20.0000
vco_anc_weapon_the_blade_of_realities	wh2_dlc10_effect_character_stat_enable_sundering_attacks	character_to_character_own	1.0000
vco_anc_weapon_the_blade_of_realities	wh_main_effect_character_stat_ap_damage	character_to_character_own	60.0000
vco_anc_weapon_the_blade_of_realities	wh_main_effect_character_stat_weapon_strength	character_to_character_own	8.0000
vco_anc_weapon_the_heartwood_lance	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	7.0000
vco_anc_weapon_the_heartwood_lance	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	10.0000
vco_anc_weapon_the_heartwood_lance	wh_main_effect_character_stat_speed	character_to_character_own	10.0000
vco_anc_weapon_the_slayer_of_kings	wh3_dlc20_effect_upkeep_kho_daemons	general_to_force_own	-20.0000
vco_anc_weapon_the_slayer_of_kings	wh3_main_effect_corruption_khorne_characters	character_to_province_any	5.0000
vco_anc_weapon_the_slayer_of_kings	wh3_main_faction_political_diplomacy_mod_khorne	character_to_faction_unseen	15.0000
vco_anc_weapon_the_slayer_of_kings	wh_main_effect_ability_enable_the_slayer_of_kings	character_to_character_own	1.0000
vco_anc_weapon_the_slayer_of_kings	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_anc_weapon_the_sword_of_couronne	wh2_main_effect_attribute_enable_causes_terror_vs_chs	agent_to_parent_army_general_own	1.0000
vco_anc_weapon_the_sword_of_couronne	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
vco_anc_weapon_the_sword_of_couronne	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_anc_weapon_the_sword_of_couronne	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
vco_anc_weapon_the_sword_of_couronne	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_anc_weapon_the_sword_of_couronne	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0000
vco_anc_weapon_the_sword_of_couronne	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-5.0000
vco_anc_weapon_volcanic_morningstar	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
vco_anc_weapon_volcanic_morningstar	wh_main_effect_character_stat_ap_damage	character_to_character_own	10.0000
vco_anc_weapon_volcanic_morningstar	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	7.0000
vco_anc_weapon_volcanic_morningstar	wh_main_effect_character_stat_weapon_strength	character_to_character_own	5.0000
vco_anc_weapon_warpsword_of_khaine	wh2_dlc14_effect_ability_enable_warpsword_of_khaine	character_to_character_own	1.0000
vco_anc_weapon_warpsword_of_khaine	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
vco_anc_weapon_warpsword_of_khaine	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
vco_anc_weapon_warpsword_of_khaine	wh_main_effect_force_army_campaign_ambush_defence_success_chance	force_to_force_own_lords_army	40.0000
vco_anc_weapon_witstealer_sword	wh3_main_effect_ability_enable_witstealer_sword	character_to_character_own	1.0000
vco_anc_weapon_witstealer_sword	wh3_main_effect_corruption_slaanesh_characters	character_to_province_any	5.0000
vco_anc_weapon_witstealer_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_anc_weapon_witstealer_sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
vco_anc_weapon_witstealer_sword	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_anc_weapon_witstealer_sword	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_ability_enable_axe_of_dargo	character_to_character_own	1.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_character_stat_bonus_vs_large	character_to_character_own	6.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0000
vco_wh_main_anc_weapon_axe_of_dargo	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-5.0000
