id	dilemma_key	choice_key	payload_key	value	target_key
34169461400	vco_chs_aza_dilemma_supplicants_come	THIRD	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_aza_dilemma_supplicants_come_wef];DURATION[0]	default
34169461401	vco_chs_aza_dilemma_supplicants_come	FOURTH	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_aza_dilemma_supplicants_come_ksl];DURATION[0]	default
34169461406	vco_chs_fes_dilemma_lustrian_plague	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_fes_dilemma_lustrian_plague_water];DURATION[0]	default
34169461407	vco_chs_fes_dilemma_lustrian_plague	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_fes_dilemma_lustrian_plague_air];DURATION[0]	default
34169461408	vco_chs_fes_dilemma_lustrian_plague	FIRST	ADD_ANCILLARY	ANCILLARY_KEY[vco_anc_weapon_blade_of_corruption]	default
34169461409	vco_chs_fes_dilemma_lustrian_plague	SECOND	ADD_ANCILLARY	ANCILLARY_KEY[vco_anc_arcane_item_warp_scroll]	default
34169461410	vco_chs_vil_dilemma_the_reckoning	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_vil_dilemma_the_reckoning_mind];DURATION[0]	default
34169461411	vco_chs_vil_dilemma_the_reckoning	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_vil_dilemma_the_reckoning_body];DURATION[0]	default
34169461412	vco_chs_val_dilemma_nkari_approaches	FIRST	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_val_dilemma_nkari_approaches_head];DURATION[0]	default
34169461413	vco_chs_val_dilemma_nkari_approaches	SECOND	EFFECT_BUNDLE	KEY[vco_victory_payload_chs_val_dilemma_nkari_approaches_heart];DURATION[0]	default
