army_name	ai_army_tactic	approach_angle	army_emblem	army_model	deployment_zone_id	faction	is_allied_to_player	is_reinforcement_army	is_frontend_player_army	use_default_deployment_zones	is_hidden_army	should_merge_army	reinforcement_is_support	override_uniform_colours	uniform_colour_primary_override	uniform_colour_secondary_override	uniform_colour_tertiary_override	override_banner_colours	banner_colour_primary_override	banner_colour_secondary_override	banner_colour_tertiary_override	flag_path	is_primary_army
vco_custom_quest_eight_peaks_enemy_queek		0	test_emblem_army_01	5558	0	wh2_main_skv_clan_mors	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_eight_peaks_enemy_queek_reinforcements		270	test_emblem_army_01	5558	0	wh2_main_skv_clan_mors	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_eight_peaks_enemy_skarsnik		0	test_emblem_army_01	5235	0	wh_main_grn_crooked_moon	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_eight_peaks_enemy_skarsnik_queek_reinforcement		0	test_emblem_army_01	5235	0	wh_main_grn_crooked_moon	false	true	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_hellebron_alarielle_enemy_army_alarielle		0	test_emblem_army_01	479536024	0	wh2_main_hef_avelorn	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_hellebron_alarielle_enemy_army_nkari		100	test_emblem_army_01	2047614768	0	wh3_main_sla_seducers_of_slaanesh	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_ally_gold_and_iron		270	test_emblem_army_01	1757776503	0	wh3_main_cth_the_northern_provinces	true	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_ally_grand_alliance		0	test_emblem_army_01	1531171145	0	wh3_main_ksl_the_ice_court	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_ally_snow_and_steel		0	test_emblem_army_01	3244	0	wh_main_brt_bretonnia	true	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_enemy_archaons_warhost		180	test_emblem_army_01	3431	0	wh_main_chs_chaos	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_enemy_beasts_of_chaos		0	test_emblem_army_01	231829020	0	wh_dlc08_nor_wintertooth	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_enemy_chaos_dwarfs		90	test_emblem_army_01	1327504918	0	wh3_dlc23_chd_astragoth	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_karl_franz_final_enemy_gibbering_tide		0	test_emblem_army_01	362647950	0	wh3_main_dae_daemon_prince	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_throt_ghoritch_ally_army_hell_pit_garrison		0	test_emblem_army_01	5625	0	wh2_main_skv_skaven_qb1	true	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_throt_ghoritch_enemy_army_archaon		0	test_emblem_army_01	3431	0	wh_main_chs_chaos	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		true
vco_custom_quest_throt_ghoritch_enemy_army_champions_kho_nur		45	test_emblem_army_01	2142344717	0	wh3_dlc20_chs_festus	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_throt_ghoritch_enemy_army_champions_sla_tze		230	test_emblem_army_01	1601352192	0	wh3_dlc20_chs_vilitch	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_throt_ghoritch_enemy_army_godslayer		0	test_emblem_army_01	362647950	0	wh3_main_dae_daemon_prince	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_tretch_enemy_army_chd_chaos_dwarfs		270	test_emblem_army_01	1148579704	0	wh3_dlc23_chd_zhatan	false	true	false	true	true	false	false	false	000000	000000	000000	false	000000	000000	000000		false
vco_custom_quest_tretch_enemy_army_vmp_lahmians		0	test_emblem_army_01	561432497	0	wh3_main_vmp_lahmian_sisterhood	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
wh2_dlc17_qb_bst_taurox_final_battle_enemy_01_morghur		0	test_emblem_army_01	4074	0	wh_dlc03_bst_beastmen_qb1	false	false	false	true	false	false	false	false	000000	000000	000000	false	000000	000000	000000		false
