key	uniform	x_offset	y_offset	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	show_full_intro_option	difficulty	startpos_map	agent_subtype_record	faction
wh2_dlc11_political_party_cst_sartosa_ruler	composite_scene\lord_selection\vampire_coast\aranessa_saltspite.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cst_cha_aranessa_saltspite_0.png		Front_end_selection_movies/cst_arenessa_saltspite	ui/loading_ui/load_images/campaign_vampire_coast1.png		-1.0000	-1.0000	wh2_dlc11_vo_actor_VampireCoast_Aranessa_Saltspite	false	easy	wh2_dlc11_political_party_cst_sartosa_ruler	wh2_dlc11_cst_aranessa	wh2_dlc11_cst_pirates_of_sartosa
wh2_dlc11_political_party_cst_the_drowned_ruler	composite_scene\lord_selection\vampire_coast\cylostra_direfin.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cst_cylostra_0.png		Front_end_selection_movies/cst_cylostra_direfin	ui/loading_ui/load_images/campaign_vampire_coast1.png		-1.0000	-1.0000	wh2_dlc11_vo_actor_VampireCoast_Cylostra_Direfin	false	easy	wh2_dlc11_political_party_cst_the_drowned_ruler	wh2_dlc11_cst_cylostra	wh2_dlc11_cst_the_drowned
wh2_dlc11_political_party_def_lokhir_fellheart_ruler	composite_scene\lord_selection\dark_elves\lokhir_fellheart.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_cha_lokhir_0.png		Front_end_selection_movies/def_lokhir_fellheart	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_dlc11_vo_actor_Dark_Elves_Lokhir_Fellheart	false		wh2_dlc11_political_party_def_lokhir_fellheart_ruler	wh2_dlc11_def_lokhir	wh2_dlc11_def_the_blessed_dread
wh2_dlc11_political_party_vampire_coast_ruler	composite_scene\lord_selection\vampire_coast\luthor_harkon.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cst_cha_luthor_harkon_0.png		Front_end_selection_movies/cst_luthor_harkon	ui/loading_ui/load_images/campaign_vampire_coast2.png		-1.0000	-1.0000	wh2_dlc11_vo_actor_VampireCoast_Luthor_Harkon	false		wh2_dlc11_political_party_vampire_coast_ruler	wh2_dlc11_cst_harkon	wh2_dlc11_cst_vampire_coast
wh2_dlc12_political_party_lzd_tehenhauin	composite_scene\winds_of_magic.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_tehenhauin_0.png		Front_end_selection_movies/lzd_tehenhauin	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_dlc12_vo_actor_Lizardmen_Tehenhauin	false		wh2_dlc12_political_party_lzd_tehenhauin	wh2_dlc12_lzd_tehenhauin	wh2_dlc12_lzd_cult_of_sotek
wh2_dlc12_political_party_lzd_tiktaqto	composite_scene\winds_of_magic.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_tiktaqto_0.png		Front_end_selection_movies/lzd_tiktaqto	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_dlc12_vo_actor_Lizardmen_Tiktaqto	false		wh2_dlc12_political_party_lzd_tiktaqto	wh2_dlc12_lzd_tiktaqto	wh2_main_lzd_tlaqua
wh2_dlc12_political_party_skv_ikit_claw	composite_scene\winds_of_magic.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_ikit_claw_campaign_0.png		Front_end_selection_movies/skv_ikit	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_dlc12_vo_actor_Skaven_Ikit_Claw	false		wh2_dlc12_political_party_skv_ikit_claw	wh2_dlc12_skv_ikit_claw	wh2_main_skv_clan_skryre
wh2_dlc13_political_party_lzd_gorrok	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_lord_gor_rok_0.png		Front_end_selection_movies/lzd_gorrok	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_dlc13_vo_actor_Lizardmen_Gor_Rok	false		wh2_dlc13_political_party_lzd_gorrok	wh2_dlc13_lzd_gor_rok	wh2_main_lzd_itza
wh2_dlc13_political_party_lzd_nakai	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_nakai_0.png		Front_end_selection_movies/lzd_nakai	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_dlc13_vo_actor_Lizardmen_Nakai	false	easy	wh2_dlc13_political_party_lzd_nakai	wh2_dlc13_lzd_nakai	wh2_dlc13_lzd_spirits_of_the_jungle
wh2_dlc13_political_party_wulfhart_ruler	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\emp_markus_0.png		Front_end_selection_movies/emp_wulfhart	ui/loading_ui/load_images/campaign_empire1.png		-1.0000	-1.0000	wh2_dlc13_vo_actor_Empire_Markus_Wulfhart	false	easy	wh2_dlc13_political_party_wulfhart_ruler	wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_emp_the_huntmarshals_expedition
wh2_dlc14_political_party_bretonnia_repanse	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\brt_repanse_de_lyonesse_0.png		Front_end_selection_movies/brt_repanse	ui/loading_ui/load_images/campaign_bretonnia1.png		-1.0000	-1.0000	wh2_dlc14_vo_actor_Bretonnia_Repanse_De_Lyonese	false	easy	wh2_dlc14_political_party_bretonnia_repanse	wh2_dlc14_brt_repanse	wh2_dlc14_brt_chevaliers_de_lyonesse
wh2_dlc14_political_party_def_malus	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_malus_0.png		Front_end_selection_movies/def_malus	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_dlc14_vo_actor_Dark_Elf_Malus_Darkblade	false		wh2_dlc14_political_party_def_malus	wh2_dlc14_def_malus_darkblade	wh2_main_def_hag_graef
wh2_dlc14_political_party_skv_snikch	composite_scene\lord_selection\empire_provinces\emperor_karl_franz.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_snikch_0.png		Front_end_selection_movies/skv_snikch	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_dlc14_vo_actor_Skaven_Snikch	false	easy	wh2_dlc14_political_party_skv_snikch	wh2_dlc14_skv_deathmaster_snikch	wh2_main_skv_clan_eshin
wh2_dlc15_political_party_grn_grom	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\grn_grom_the_paunch_0.png		Front_end_selection_movies/grn_grom	ui/loading_ui/load_images/campaign_greenskins1.png		-1.0000	-1.0000	wh2_dlc15_vo_actor_Goblin_Grom	false		wh2_dlc15_political_party_grn_grom	wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_grn_broken_axe
wh2_dlc15_political_party_hef_eltharion	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_eltharion_0.png		Front_end_selection_movies/hef_eltharion	ui/loading_ui/load_images/campaign_high_elves1.png		0.3979	0.4196	wh2_dlc15_vo_actor_High_Elves_Eltharion	false		wh2_dlc15_political_party_hef_eltharion	wh2_dlc15_hef_eltharion	wh2_main_hef_yvresse
wh2_dlc15_political_party_hef_imrik	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_imrik_unmounted_0.png		Front_end_selection_movies/hef_imrik	ui/loading_ui/load_images/campaign_high_elves1.png		-1.0000	-1.0000	wh2_dlc15_vo_actor_High_Elves_Imrik	false	easy	wh2_dlc15_political_party_hef_imrik	wh2_dlc15_hef_imrik	wh2_dlc15_hef_imrik
wh2_dlc16_political_party_skv_throt	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_throt_0.png		Front_end_selection_movies/skv_throt	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_dlc16_vo_actor_Skaven_Throt	false	easy	wh2_dlc16_political_party_skv_throt	wh2_dlc16_skv_throt_the_unclean	wh2_main_skv_clan_moulder
wh2_dlc16_political_party_wef_drycha	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\wef_drycha_0.png		Front_end_selection_movies/wef_drycha	ui/loading_ui/load_images/campaign_wood_elves1.png		-1.0000	-1.0000	wh2_dlc16_vo_actor_Wood_Elves_Drycha	false		wh2_dlc16_political_party_wef_drycha	wh2_dlc16_wef_drycha	wh2_dlc16_wef_drycha
wh2_dlc16_political_party_wef_sisters_of_twilight	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\wef_sisters_of_twilight_0.png		Front_end_selection_movies/wef_sisters	ui/loading_ui/load_images/campaign_wood_elves1.png		-1.0000	-1.0000	wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight	false	easy	wh2_dlc16_political_party_wef_sisters_of_twilight	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc17_political_party_beastmen_taurox	composite_scene/front_end_selection/khazrak_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\bst_taurox_0.png		Front_end_selection_movies/bst_taurox	ui/loading_ui/load_images/campaign_beastmen1.png		-1.0000	-1.0000	wh2_dlc17_vo_actor_Beastmen_Taurox	false	easy	wh2_dlc17_political_party_beastmen_taurox	wh2_dlc17_bst_taurox	wh2_dlc17_bst_taurox
wh2_dlc17_political_party_dwarf_thorek	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dwf_thorek_0.png		Front_end_selection_movies/dwf_thorek	ui/loading_ui/load_images/campaign_dwarfs1.png		-1.0000	-1.0000	wh2_dlc17_vo_actor_Dwarf_Thorek_Ironbrow	false		wh2_dlc17_political_party_dwarf_thorek	wh2_dlc17_dwf_thorek	wh2_dlc17_dwf_thorek_ironbrow
wh2_dlc17_political_party_lzd_oxyotl	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_oxyotl_0.png		Front_end_selection_movies/lzd_oxyotl	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_dlc17_vo_actor_Lizardmen_Oxyotl	false		wh2_dlc17_political_party_lzd_oxyotl	wh2_dlc17_lzd_oxyotl	wh2_dlc17_lzd_oxyotl
wh2_main_political_party_def_malekith	composite_scene\lord_selection\dark_elves\malekith.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_malekith_0.png		Front_end_selection_movies/def_malekith	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_main_vo_actor_Dark_Elves_Malekith	false		wh2_main_political_party_def_malekith	wh2_main_def_malekith	wh2_main_def_naggarond
wh2_main_political_party_def_morathi	composite_scene\lord_selection\dark_elves\morathi.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_morathi_0.png		Front_end_selection_movies/def_morathi	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_main_vo_actor_Dark_Elves_Morathi	false	easy	wh2_main_political_party_def_morathi	wh2_main_def_morathi	wh2_main_def_cult_of_pleasure
wh2_main_political_party_hef_teclis	composite_scene\lord_selection\high_elves\teclis.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_teclis_0.png		Front_end_selection_movies/hef_teclis	ui/loading_ui/load_images/campaign_high_elves1.png		-1.0000	-1.0000	wh2_main_vo_actor_High_Elves_Teclis	false		wh2_main_political_party_hef_teclis	wh2_main_hef_teclis	wh2_main_hef_order_of_loremasters
wh2_main_political_party_hef_tyrion	composite_scene\lord_selection\high_elves\tyrion.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\hef_tyrion_0.png		Front_end_selection_movies/hef_tyrion	ui/loading_ui/load_images/campaign_high_elves1.png		-1.0000	-1.0000	wh2_main_vo_actor_High_Elves_Tyrion	false	easy	wh2_main_political_party_hef_tyrion	wh2_main_hef_tyrion	wh2_main_hef_eataine
wh2_main_political_party_lzd_kroq_gar	composite_scene\lord_selection\lizardmen\kroq_gar.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_lord_kroq_gar_0.png		Front_end_selection_movies/lzd_kroqgar	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	false		wh2_main_political_party_lzd_kroq_gar	wh2_main_lzd_kroq_gar	wh2_main_lzd_last_defenders
wh2_main_political_party_lzd_lord_mazdamundi	composite_scene\lord_selection\lizardmen\lord_mazdamundi.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\lzd_lord_mazdamundi_0.png		Front_end_selection_movies/lzd_mazdamundi	ui/loading_ui/load_images/campaign_lizardmen1.png		-1.0000	-1.0000	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	false	easy	wh2_main_political_party_lzd_lord_mazdamundi	wh2_main_lzd_lord_mazdamundi	wh2_main_lzd_hexoatl
wh2_main_political_party_skv_lord_skrolk	composite_scene\lord_selection\skaven\lord_skrolk.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_lord_skrolk_0.png		Front_end_selection_movies/skv_skrolk	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_main_vo_actor_Skaven_Lord_Skrolk	false		wh2_main_political_party_skv_lord_skrolk	wh2_main_skv_lord_skrolk	wh2_main_skv_clan_pestilens
wh2_main_political_party_skv_queek_headtaker	composite_scene\lord_selection\skaven\queek_headtaker.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\skv_queek_0.png		Front_end_selection_movies/skv_queek	ui/loading_ui/load_images/campaign_skaven1.png		-1.0000	-1.0000	wh2_main_vo_actor_Skaven_Queek_Headtaker	false	easy	wh2_main_political_party_skv_queek_headtaker	wh2_main_skv_queek_headtaker	wh2_main_skv_clan_mors
wh2_twa03_political_party_def_rakarth	composite_scene/front_end_selection/karl_franz_selection.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\def_rakarth_0.png		Front_end_selection_movies/def_rakarth	ui/loading_ui/load_images/campaign_dark_elves1.png		-1.0000	-1.0000	wh2_twa03_vo_actor_Dark_Elf_Rakarth	false		wh2_twa03_political_party_def_rakarth	wh2_twa03_def_rakarth	wh2_twa03_def_rakarth
wh3_dlc20_political_party_chaos_chs_azazel	composite_scene\lord_selection\champions\azazel.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_azazel_0.png		Front_end_selection_movies/azazel_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Slaanesh_Azazel	false	easy	default	wh3_dlc20_sla_azazel	wh3_dlc20_chs_azazel
wh3_dlc20_political_party_chaos_chs_festus	composite_scene\lord_selection\champions\festus.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_festus_0.png		Front_end_selection_movies/festus_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Nurgle_Festus	false	easy	default	wh3_dlc20_nur_festus	wh3_dlc20_chs_festus
wh3_dlc20_political_party_chaos_chs_valkia	composite_scene\lord_selection\champions\valkia.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_valkia_0.png		Front_end_selection_movies/valkia_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Khorne_Valkia	false	easy	default	wh3_dlc20_kho_valkia	wh3_dlc20_chs_valkia
wh3_dlc20_political_party_chaos_chs_vilitch	composite_scene\lord_selection\champions\vilitch.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_vilitch_0.png		Front_end_selection_movies/vilitch_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Tzeentch_Vilitch	false	easy	default	wh3_dlc20_tze_vilitch	wh3_dlc20_chs_vilitch
wh3_dlc20_political_party_chs_azazel	composite_scene\lord_selection\champions\azazel.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_azazel_0.png		Front_end_selection_movies/azazel_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Slaanesh_Azazel	false	easy	default	wh3_dlc20_sla_azazel	wh3_dlc20_chs_azazel
wh3_dlc20_political_party_chs_festus	composite_scene\lord_selection\champions\festus.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_festus_0.png		Front_end_selection_movies/festus_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Nurgle_Festus	false	easy	default	wh3_dlc20_nur_festus	wh3_dlc20_chs_festus
wh3_dlc20_political_party_chs_valkia	composite_scene\lord_selection\champions\valkia.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_valkia_0.png		Front_end_selection_movies/valkia_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Khorne_Valkia	false	easy	default	wh3_dlc20_kho_valkia	wh3_dlc20_chs_valkia
wh3_dlc20_political_party_chs_vilitch	composite_scene\lord_selection\champions\vilitch.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_vilitch_0.png		Front_end_selection_movies/vilitch_front_end	ui/loading_ui/load_images/campaign_champions1.png		-1.0000	-1.0000	wh3_dlc20_vo_actor_Tzeentch_Vilitch	false	easy	default	wh3_dlc20_tze_vilitch	wh3_dlc20_chs_vilitch
wh3_dlc23_political_party_astragoth	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_astragoth_ironhand_0.png		Front_end_selection_movies/astragoth_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Astragoth_Ironhand	false	easy	default	wh3_dlc23_chd_astragoth	wh3_dlc23_chd_astragoth
wh3_dlc23_political_party_chaos_astragoth	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_astragoth_ironhand_0.png		Front_end_selection_movies/astragoth_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Astragoth_Ironhand	false	easy	default	wh3_dlc23_chd_astragoth	wh3_dlc23_chd_astragoth
wh3_dlc23_political_party_chaos_drazhoath	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_drazhoath_the_ashen_0.png		Front_end_selection_movies/drazhoath_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Drazhoath_the_Ashen	false	easy	default	wh3_dlc23_chd_drazhoath	wh3_dlc23_chd_legion_of_azgorh
wh3_dlc23_political_party_chaos_zhatan	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_zhatan_the_black_0.png		Front_end_selection_movies/zhatan_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Zhatan_the_Black	false	easy	default	wh3_dlc23_chd_zhatan	wh3_dlc23_chd_zhatan
wh3_dlc23_political_party_drazhoath	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_drazhoath_the_ashen_0.png		Front_end_selection_movies/drazhoath_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Drazhoath_the_Ashen	false	easy	default	wh3_dlc23_chd_drazhoath	wh3_dlc23_chd_legion_of_azgorh
wh3_dlc23_political_party_zhatan	composite_scene\lord_selection\dwarf_realms\ungrim_ironfist.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\chd_zhatan_the_black_0.png		Front_end_selection_movies/zhatan_front_end	ui/loading_ui/load_images/campaign_chaos_dwarfs1.png		-1.0000	-1.0000	wh3_dlc23_vo_actor_Chaos_Dwarf_Zhatan_the_Black	false	easy	default	wh3_dlc23_chd_zhatan	wh3_dlc23_chd_zhatan
wh3_dlc24_political_party_chaos_cth_the_celestial_court	composite_scene\lord_selection\cathay\miao_ying.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cth_jade_dragon_human_0.png		Front_end_selection_movies/yuan_bo_front_end	ui/loading_ui/load_images/campaign_cathay1.png		-1.0000	-1.0000	wh3_dlc24_vo_actor_Cathay_Yuan_Bo	false	easy	default	wh3_dlc24_cth_yuan_bo	wh3_dlc24_cth_the_celestial_court
wh3_dlc24_political_party_chaos_ksl_daughters_of_the_forest	composite_scene\lord_selection\kislev\boris.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\ksl_ostankya_0.png		Front_end_selection_movies/mother_ostankya_front_end	ui/loading_ui/load_images/campaign_kislev1.png		-1.0000	-1.0000	wh3_dlc24_vo_actor_Kislev_Mother_Ostankya	false	easy	default	wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_ksl_daughters_of_the_forest
wh3_dlc24_political_party_chaos_tze_the_deceivers	composite_scene\lord_selection\tzeentch\kairos_fateweaver.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\dae_changeling_0.png		Front_end_selection_movies/the_changeling_front_end	ui/loading_ui/load_images/campaign_tzeentch1.png		-1.0000	-1.0000	wh3_dlc24_vo_actor_Tzeentch_The_Changeling	false	easy	default	wh3_dlc24_tze_the_changeling	wh3_dlc24_tze_the_deceivers
wh3_dlc24_political_party_cth_the_celestial_court	composite_scene\lord_selection\cathay\miao_ying.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\cth_jade_dragon_human_0.png		Front_end_selection_movies/yuan_bo_front_end	ui/loading_ui/load_images/campaign_cathay1.png		-1.0000	-1.0000	wh3_dlc24_vo_actor_Cathay_Yuan_Bo	false	easy	default	wh3_dlc24_cth_yuan_bo	wh3_dlc24_cth_the_celestial_court
wh3_dlc24_political_party_ksl_daughters_of_the_forest	composite_scene\lord_selection\kislev\boris.csc	0.0000	0.0000	UI\Portraits\Faction_leaders\ksl_ostankya_0.png		Front_end_selection_movies/mother_ostankya_front_end	ui/loading_ui/load_images/campaign_kislev1.png		-1.0000	-1.0000	wh3_dlc24_vo_actor_Kislev_Mother_Ostankya	false	easy	default	wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_ksl_daughters_of_the_forest
