unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
			wh2_main_hef_mon_star_dragon	vco_hef_dragons	false
			wh2_main_hef_mon_sun_dragon	vco_hef_dragons	false
			wh2_main_def_mon_black_dragon	vco_hef_dragons	false
			wh2_main_hef_cav_dragon_princes	vco_hef_dragon_knights	false
			wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine	vco_cth_chaos_altar_tze	false
			wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine	vco_cth_chaos_altar_tze	false
			wh3_dlc20_chs_cha_chaos_sorcerer_metal_mtze_warshrine	vco_cth_chaos_altar_tze	false
			wh3_dlc20_chs_cha_chaos_sorcerer_tzeentch_mtze_warshrine	vco_cth_chaos_altar_tze	false
			wh3_dlc20_chs_mon_warshrine_mtze	vco_cth_chaos_altar_tze	false
			wh2_dlc11_cst_inf_zombie_deckhands_mob_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_deckhands_mob_1	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_deckhands_mob_necrofex_summoned_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_deckhands_mob_summoned_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_1	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_2	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_3	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_ror_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_zombie_gunnery_mob_summoned_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_deck_gunners_0	vco_cylostra_zombie_pirates	false
			wh2_dlc11_cst_inf_deck_gunners_ror_0	vco_cylostra_zombie_pirates	false
			wh_dlc07_brt_peasant_mob_0	vco_repanse_peasants	false
			wh_dlc07_brt_inf_spearmen_at_arms_1	vco_repanse_peasants	false
			wh_main_brt_inf_spearmen_at_arms	vco_repanse_peasants	false
			wh_dlc07_brt_inf_men_at_arms_1	vco_repanse_peasants	false
			wh_dlc07_brt_inf_men_at_arms_2	vco_repanse_peasants	false
			wh_main_brt_inf_men_at_arms	vco_repanse_peasants	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_all	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_armoured_kossars_streltsi	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_infantry	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_kossars_armoured_kossars_streltsi	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_kossars_armoured_kossars_streltsi_horse_archers	false
			vco_wh_dlc04_emp_inf_flagellants_0	ksl_kossars_armoured_kossars_streltsi_rank_7	false
			vco_wh_dlc04_emp_inf_flagellants_0	wh3_main_ksl_all	false
			vco_wh_main_dwf_inf_slayers	ksl_all	false
			vco_wh_main_dwf_inf_slayers	ksl_armoured_kossars_streltsi	false
			vco_wh_main_dwf_inf_slayers	ksl_infantry	false
			vco_wh_main_dwf_inf_slayers	ksl_kossars_armoured_kossars_streltsi	false
			vco_wh_main_dwf_inf_slayers	ksl_kossars_armoured_kossars_streltsi_horse_archers	false
			vco_wh_main_dwf_inf_slayers	ksl_kossars_armoured_kossars_streltsi_rank_7	false
			vco_wh_main_dwf_inf_slayers	wh3_main_ksl_all	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_all	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_armoured_kossars_streltsi	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_infantry	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_kossars_armoured_kossars_streltsi	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_kossars_armoured_kossars_streltsi_horse_archers	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	ksl_kossars_armoured_kossars_streltsi_rank_7	false
			vco_wh2_dlc10_dwf_inf_giant_slayers	wh3_main_ksl_all	false
			vco_wh_main_emp_art_mortar	ksl_all	false
			vco_wh_main_emp_art_mortar	ksl_war_sleds_little_grom	false
			vco_wh_main_emp_art_mortar	ksl_war_sleds_little_grom_rank_7	false
			vco_wh_main_emp_art_mortar	mp_cap_group_ranged_units	false
			vco_wh_main_emp_art_mortar	mp_cap_unit_ksl_veh_little_grom_0	false
			vco_wh_main_emp_art_mortar	wh3_main_ksl_all	false
			vco_wh_main_emp_art_mortar	wh3_main_ksl_veh_little_grom_0	false
			vco_wh_main_emp_art_great_cannon	ksl_all	false
			vco_wh_main_emp_art_great_cannon	ksl_war_sleds_little_grom	false
			vco_wh_main_emp_art_great_cannon	ksl_war_sleds_little_grom_rank_7	false
			vco_wh_main_emp_art_great_cannon	mp_cap_group_ranged_units	false
			vco_wh_main_emp_art_great_cannon	mp_cap_unit_ksl_veh_little_grom_0	false
			vco_wh_main_emp_art_great_cannon	wh3_main_ksl_all	false
			vco_wh_main_emp_art_great_cannon	wh3_main_ksl_veh_little_grom_0	false
			vco_wh2_dlc11_cst_cav_knights_errant_2	wh2_dlc11_cst_all_large_units	false
			vco_wh2_dlc11_cst_cav_knights_of_the_realm	wh2_dlc11_cst_all_large_units	false
			vco_wh2_dlc11_cst_cav_questing_knights_0	wh2_dlc11_cst_all_large_units	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	all_non_chs	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	all_units_excluding_immune_to_psychology	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	mp_cap_group_lords	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	undivided_characters	false
			vco_wh_main_chs_cha_archaon_the_everchosen_0	wh3_dlc20_chs_und_all	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	all_non_chs	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	all_units_excluding_immune_to_psychology	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	mp_cap_group_lords	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	undivided_characters	false
			vco_wh_main_chs_cha_archaon_the_everchosen_1	wh3_dlc20_chs_und_all	false
