building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
vco_landmark_vlad_glittering_caves			wh_main_vmp_schwartzhafen	wh_main_PLACEHOLDER	vco_treasure_vaults	false	vco_landmark_vlad_glittering_caves	true
vco_landmark_vlad_slayer_tombs			wh_main_vmp_schwartzhafen	wh_main_PLACEHOLDER	vco_defiled_slayer_tombs	false	vco_landmark_vlad_slayer_tombs	true
vco_landmark_wulfhart_imperial_dockyard			wh2_dlc13_emp_the_huntmarshals_expedition	wh_main_PLACEHOLDER	vco_wulfhart_imperial_dockyard	false	vco_landmark_wulfhart_imperial_dockyard	true
vco_landmark_wulfhart_lumber_yard			wh2_dlc13_emp_the_huntmarshals_expedition	wh_main_PLACEHOLDER	vco_markus_lumbar_yard	false	vco_landmark_wulfhart_lumber_yard	true
vco_landmark_zhao_sigmars_rock			wh3_main_cth_the_western_provinces	wh_main_PLACEHOLDER	empire_sigmars_rock	false	vco_landmark_zhao_sigmars_rock	true
vco_landmark_zhao_warpforges			wh3_main_cth_the_western_provinces	wh_main_PLACEHOLDER	wh3_dlc23_special_warpforges	false	vco_landmark_zhao_warpforges	true
vco_moulder_dukhyls_forest_brood_warren			wh2_main_skv_clan_moulder	wh_main_PLACEHOLDER	vco_moulder_dukhyls_forest_brood_warren	false	vco_moulder_dukhyls_forest_brood_warren	true
vco_moulder_forest_flesh_pits			wh2_main_skv_clan_moulder	wh_main_PLACEHOLDER	vco_moulder_forest_flesh_pits	false	vco_moulder_forest_flesh_pits	true
vco_moulder_laurelorn_broken_heart			wh2_main_skv_clan_moulder	wh_main_PLACEHOLDER	vco_moulder_laurelorn_broken_heart	false	vco_moulder_laurelorn_broken_heart	true
vco_moulder_warpstone_pillar			wh2_main_skv_clan_moulder	wh_main_PLACEHOLDER	vco_moulder_warpstone_pillar	false	vco_moulder_warpstone_pillar	true
