army_name	character_name	script_name
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	wh3_main_qb_sla_nkari_sword_player_02	lzd_teh
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	wh3_main_survival_kho_cha_bloodreaper	lzd_teh
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	wh3_main_survival_nur_cha_plagueridden_death	lzd_teh
vco_custom_quest_throt_ghoritch_enemy_army_godslayer	wh3_pro10_mom_qb_wh3_main_tze_cha_iridescent_horror_metal_0	lzd_teh
vco_custom_quest_tretch_enemy_army_chd_chaos_dwarfs	wh3_dlc23_chd_cha_daemonsmith_sorcerer_fire_qb	enemy_reinforcements
vco_custom_quest_tretch_enemy_army_chd_chaos_dwarfs	wh3_dlc23_chd_cha_zhatan_the_black_qb_final_battle	enemy_reinforcements
vco_custom_quest_tretch_enemy_army_chd_chaos_dwarfs	wh3_dlc23_chd_gorduz_backstabber_final_battle	enemy_reinforcements
vco_custom_quest_tretch_enemy_army_vmp_lahmians	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3	enemy_vampires
vco_custom_quest_tretch_enemy_army_vmp_lahmians	wh_main_vmp_cha_vampire_0	enemy_vampires
vco_custom_quest_tretch_enemy_army_vmp_lahmians	wh_main_vmp_cha_wight_king_2	enemy_vampires
